epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,162.957,1.64468,2.5869,1.51083,0.45232,0.35499,0.31327,0.13812,1.61486,6.24686,1.42412,0.00998866,0.00332955,0.00998866,0.00332955,0.00998866,0.00332955,0.00998866,0.00332955
2,310.883,1.69908,1.91276,1.51656,0.41379,0.37572,0.34637,0.14198,1.86516,9.39111,1.61326,0.0197908,0.00659692,0.0197908,0.00659692,0.0197908,0.00659692,0.0197908,0.00659692
3,456.524,1.8002,1.97428,1.60603,0.44408,0.40835,0.3822,0.16296,1.72593,5.97469,1.5581,0.0293949,0.0097983,0.0293949,0.0097983,0.0293949,0.0097983,0.0293949,0.0097983
4,600.423,1.83051,1.99067,1.63866,0.43168,0.43591,0.40153,0.18262,1.67218,9.72495,1.54849,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,743.325,1.76815,1.86351,1.59194,0.51965,0.47406,0.46878,0.22113,1.59422,4.38896,1.4429,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,886.762,1.70508,1.73975,1.55295,0.53647,0.47329,0.48714,0.23582,1.56908,2.61045,1.41588,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1030.28,1.67259,1.68238,1.52621,0.57604,0.52385,0.54742,0.27073,1.50285,4.57681,1.37209,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1174.76,1.64275,1.61517,1.49504,0.61487,0.5317,0.5685,0.28057,1.49976,2.54291,1.36519,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1321.62,1.61626,1.56702,1.48513,0.64332,0.56893,0.60739,0.30772,1.47384,3.10392,1.36116,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1474.58,1.60611,1.53909,1.47442,0.64169,0.54911,0.6056,0.30768,1.45712,2.4639,1.33803,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1628.94,1.58328,1.51658,1.45916,0.63944,0.5895,0.6198,0.32608,1.39893,2.12564,1.3127,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1779.4,1.56274,1.47553,1.45388,0.65608,0.56632,0.63259,0.33863,1.41477,2.37502,1.31159,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1930.86,1.54794,1.44072,1.43439,0.67358,0.5834,0.64237,0.33996,1.40808,2.09518,1.29473,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2076.54,1.55231,1.43272,1.43413,0.68236,0.60232,0.65846,0.35472,1.39652,2.09604,1.28776,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2231.3,1.53858,1.40618,1.42399,0.67448,0.59543,0.65583,0.35519,1.39637,1.93699,1.27049,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2384.63,1.52467,1.39062,1.42221,0.68973,0.61339,0.67126,0.36324,1.38908,2.10702,1.2755,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2532.79,1.51566,1.37199,1.40921,0.69468,0.62245,0.6774,0.36112,1.39181,1.84812,1.27082,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2676.11,1.50106,1.3517,1.39937,0.7024,0.62998,0.68565,0.37368,1.36098,1.81687,1.25988,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2820.57,1.49958,1.34845,1.39749,0.72177,0.62175,0.68936,0.37745,1.35237,1.80269,1.25289,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2967.23,1.48516,1.32354,1.38761,0.7064,0.64164,0.70032,0.38476,1.34568,1.85111,1.25198,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3113.25,1.47605,1.3152,1.38599,0.70051,0.63511,0.69498,0.38405,1.3502,1.45009,1.25082,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3259.53,1.47116,1.29716,1.37326,0.70507,0.64809,0.70395,0.39282,1.33463,1.45732,1.23297,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3406.18,1.46511,1.29663,1.37514,0.69824,0.64355,0.70161,0.38931,1.33837,1.7736,1.22859,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3553.33,1.46948,1.28679,1.37459,0.71008,0.65253,0.71678,0.39984,1.33827,1.45752,1.23576,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3699.49,1.45689,1.27151,1.36613,0.71541,0.65174,0.72159,0.40154,1.33825,1.57283,1.23261,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3845.53,1.45186,1.26035,1.36459,0.73058,0.65763,0.72437,0.4056,1.31048,1.40782,1.21817,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3991.8,1.4446,1.24068,1.35375,0.73745,0.65196,0.72295,0.40686,1.30901,1.37676,1.21012,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4137.38,1.43059,1.2195,1.34525,0.73454,0.65998,0.72728,0.41378,1.31222,1.57702,1.21948,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4289.05,1.44386,1.234,1.34391,0.72618,0.66793,0.73013,0.41462,1.30795,1.40938,1.20586,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4440.51,1.43197,1.22016,1.33585,0.7298,0.66875,0.73677,0.4206,1.29113,1.33718,1.20143,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4589.43,1.42738,1.20673,1.34131,0.72784,0.68012,0.73569,0.41838,1.30599,1.32645,1.20883,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4736.44,1.41662,1.19443,1.33389,0.74391,0.66647,0.74171,0.42482,1.28877,1.32347,1.19934,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4882.47,1.41168,1.18949,1.33085,0.74088,0.67584,0.74116,0.41923,1.31029,1.33227,1.20862,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5027.62,1.4134,1.19199,1.33162,0.74379,0.67588,0.74037,0.42261,1.29713,1.32955,1.20148,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5173.55,1.40325,1.17439,1.32758,0.74381,0.67453,0.74032,0.42472,1.29156,1.31033,1.19551,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5319.35,1.39193,1.16034,1.31558,0.74271,0.68507,0.74664,0.42668,1.28899,1.26923,1.19744,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5464.33,1.38726,1.15116,1.31314,0.73901,0.68285,0.74901,0.42817,1.28866,1.2082,1.19465,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5609.05,1.39009,1.15013,1.31632,0.74357,0.68437,0.75256,0.43224,1.28511,1.24203,1.18938,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5755.81,1.38801,1.14485,1.31161,0.75383,0.68148,0.75129,0.43167,1.2744,1.24939,1.18786,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5901.59,1.38376,1.13091,1.30928,0.75116,0.67983,0.75197,0.4359,1.26767,1.21298,1.18086,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6057.22,1.36026,1.10841,1.29815,0.74554,0.69119,0.7541,0.43732,1.27567,1.21719,1.18396,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6219.53,1.37647,1.12075,1.3049,0.77611,0.68306,0.75831,0.4386,1.27235,1.17994,1.18227,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6377.37,1.35831,1.09806,1.2955,0.76431,0.68453,0.75857,0.43783,1.28109,1.18772,1.18989,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6533.53,1.35812,1.09901,1.2984,0.75232,0.68721,0.76112,0.44132,1.26959,1.16571,1.18119,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6686.78,1.35845,1.09811,1.29444,0.75417,0.69059,0.76228,0.44242,1.27189,1.2197,1.17957,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6838.44,1.35905,1.09199,1.28926,0.74387,0.70121,0.76373,0.44119,1.27693,1.19565,1.17971,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
